AnswerId;QuestionId;Text
1;1;Ja, alle (Mir waren alle Handlungsziele bekannt)
2;1;Ja, einige (Mir waren nur einige Handlungsziele bekannt)
3;1;Nein, keine (Mir waren keine Handlungsziele bekannt)
4;2;gut (der Unterricht war strukturiert, logisch, komplett)
5;2;mittelmässig (der Unterricht war einigermassen strukturiert, logisch und komplett)
6;2;schlecht (der Unterricht war unstrukturiert, unlogisch aufgebaut)
7;3;Die Dauer war angemessen.
8;3;Die Dauer wurde dem Umfang des Themas nicht gerecht, hätte meiner Meinung nach länger dauern müssen
9;3;Unnötig lange Dauer, Inhalte hätten auch in kürzerer Zeit vermittelt werden können
10;4;abwechslungsreich (spannend, es wurden verschiedene Unterrichtsmethoden und -mittel eingesetzt)
11;4;gut, dem Thema angepasst (abwechslungsreich, nach Möglichkeit wurden verschiedene Unterrichtsmethoden und -mittel eingesetzt)
12;4;langweilig (Die Inhalte wurden unattraktiv, langweilig vermittelt)
13;5;immer (super verständlich)
14;5;meistens (gut verständlich, musste nur selten nachfragen)
15;5;teilweise (einigermassen verständlich, musste oft nachfragen)
16;5;selten (schwer verständlich, musste sehr oft nachfragen)
17;5;nie (nicht verständlich, habe nichts klapiert)
18;6;sehr kompetent (ich bekam immer sofort eine passende Antwort)
19;6;meistens kompetent (Falls die Frage nicht sofort beantwortet werden konnte, bekam ich später eine Rückmeldung)
20;6;nicht so kompetent (Offene Fragen blieben bis zum Schluss unbeantwortet)
21;6;nicht kompetent (der/die Kursleiter/-in hatte keine Ahnung vom Unterrichtsthema)
22;7;sehr gut (die Unterlagen enthielten sogar noch hilfreiche weiterführende Informationen)
23;7;gut (dem vermittelten Inhalt angemessen, unterstützend)
24;7;wenig (Hilfsmittel und Unterlagen halfen wenig)
25;7;schlecht (keine Hilfsmittel vorhanden oder nicht brauchbar)
26;8;sehr gut (aussergewöhnlich gut, Erwartungen übertroffen)
27;8;gut (angemessen, zweckdienlich)
28;8;mangelhaft (teilweise unvollständig, veraltet)
29;8;schlecht (schlechter als erwartet, wird den Bedürfnissen nicht gerecht)
30;9;sehr gut (aussergewöhnlich gut, Erwartungen übertroffen)
31;9;gut (angemessen, zweckdienlich)
32;9;mangelhaft (teilweise unvollständig, veraltet)
33;9;schlecht (schlechter als erwartet, wird den Bedürfnissen nicht gerecht)
34;10;immer (die Aufträge erforderten ein hohes Mass an Selbständigkeit und Eigeninitiative)
35;10;meistens (die Aufträge erforderten ein gutes Mass an Selbständigkeit und Eigeninitiative)
36;10;selten (viele geführte und vorgegebene Aufträge, es war nur ein minimales Mass an Selbständigkeit und Eigeninitiative erforderlich)
37;10;nie (fast ausschliesslich geführte und vorgegebene Aufträge, es war keine Selbständigkeit und Eigeninitiative erforderlich)
38;11;immer (ich hatte immer genügend Zeit und nie Stress)
39;11;meistens (manchmal hatte ich etwas Stress, ich konnte aber alle Aufträge erledigen)
40;11;selten (ich hatte oft Stress, einige der Aufträge konnte ich nicht in der zur Verfügung stehenden Zeit lösen)
41;11;nie (ich hatte Dauerstress, die Aufträge sind mehrheitlich nicht fertig geworden)
42;12;immer (mir wurde immer sofort geholfen)
43;12;meistens (mir wurde meistens innerhalb nützlicher Frist geholfen)
44;12;selten (musste mehrmals nachfragen, bis mir geholfen wurde)
45;12;nie (mir wurde nie geholfen)
46;13;ja, absolut (herausragend, habe mich immer sehr wohl gefühlt)
47;13;ja, meistens (habe nichts zu bemängeln, habe mich meistens wohl gefühlt)
48;13;ja, mit gewissen Ausnahmen (akzeptabel, habe mich einigermassen wohl gefühlt)
49;13;nein (mangelhaft, habe mich nicht immer wohl gefühlt)
50;14;Zahlenwert
51;15;Zahlenwert
52;16;Zahlenwert
